ITEM,CAL,FAT,SGR,CATEGORY,ALLERGENS
Bacon Clubhouse Burger 9.7 oz (274 g),740,41.0,14,Burgers & Sandwiches,Cereal Containing gluten;Milk;Soya
Premium Grilled Chicken Bacon Clubhouse Sandwich 10 oz (285 g),610,26.0,14,Burgers & Sandwiches,Cereal Containing gluten;Milk;Soya
Premium Buttermilk Crispy Chicken Bacon Clubhouse Sandwich 10.1 oz (287 g),790,40.0,15,Burgers & Sandwiches,Cereal Containing gluten;Milk;Soya
McChicken ® 5.1 oz (144 g),370,17.0,5,Burgers & Sandwiches,Cereal Containing gluten;Egg;Milk;Soya
Buffalo Ranch McChicken 5.2 oz (148 g),370,17.0,5,Burgers & Sandwiches,Cereal Containing gluten;Egg;Milk;Soya
Bacon Buffalo Ranch McChicken 5.7 oz (162 g),440,21.0,6,Burgers & Sandwiches,Cereal Containing gluten;Egg;Milk;Soya
Bacon Cheddar McChicken 6.1 oz (172 g),490,25.0,6,Burgers & Sandwiches,Cereal Containing gluten;Egg;Milk;Soya
Southern Style Buttermilk Crispy Chicken Sandwich 5.7 oz (162 g),470,21.0,5,Burgers & Sandwiches,Cereal Containing gluten;Milk;Soya
Filet-O-Fish 5 oz (142 g),390,19.0,5,Burgers & Sandwiches,Fish;Milk;Cereal Containing gluten;Soya
McRib ® 7.3 oz (208 g),500,26.0,11,Burgers & Sandwiches,Unknown
Premium McWrap Chicken & Bacon (Buttermilk Crispy) 11.1 oz (314 g),690,34.0,6,Burgers & Sandwiches,Cereal Containing gluten;Milk;Soya
Premium McWrap Chicken & Bacon (Grilled) 11 oz (312 g),500,19.0,5,Burgers & Sandwiches,Cereal Containing gluten;Milk;Soya
Premium McWrap Chicken & Ranch (Buttermilk Crispy) 10.9 oz (309 g),660,34.0,6,Burgers & Sandwiches,Cereal Containing gluten;Milk;Soya
Premium McWrap Chicken & Ranch (Grilled) 10.8 oz (306 g),470,19.0,5,Burgers & Sandwiches,Cereal Containing gluten;Milk;Soya
Premium McWrap Chicken Sweet Chili (Buttermilk Crispy) 10.6 oz (301 g),590,25.0,12,Burgers & Sandwiches,Cereal Containing gluten;Milk;Soya
Premium McWrap Chicken Sweet Chili (Grilled) 10.4 oz (294 g),400,10.0,11,Burgers & Sandwiches,Cereal Containing gluten;Milk;Soya
Big Mac 7.5 oz (212 g),540,28.0,9,Burgers & Sandwiches,Cereal Containing gluten;Egg;Milk;Soya;Sesame
Quarter Pounder® with Cheese 7.3 oz (206 g),540,28.0,10,Burgers & Sandwiches,Milk
Double Quarter Pounder with Cheese 10.3 oz (291 g),780,45.0,10,Burgers & Sandwiches,Milk
Hamburger 3.5 oz (99 g),250,8.0,6,Burgers & Sandwiches,Cereal Containing gluten;Milk;Soya
Cheeseburger 4 oz (113 g),300,12.0,7,Burgers & Sandwiches,Cereal Containing gluten;Milk;Soya
BBQ Ranch Burger 4 oz (114 g),350,15.0,7,Burgers & Sandwiches,Cereal Containing gluten;Milk;Soya
Grilled Onion Cheddar 4 oz (114 g),310,13.0,6,Burgers & Sandwiches,Unknown
Double Cheeseburger 5.7 oz (163 g),440,22.0,7,Burgers & Sandwiches,Cereal Containing gluten;Milk;Soya
McDouble 5.2 oz (148 g),390,18.0,7,Burgers & Sandwiches,Cereal Containing gluten;Milk;Soya
Bacon McDouble 5.7 oz (162 g),460,23.0,7,Burgers & Sandwiches,Cereal Containing gluten;Milk;Soya
Daily Double 6.8 oz (191 g),440,24.0,7,Burgers & Sandwiches,Unknown
Ranch Snack Wrap® (Buttermilk Crispy) 4.6 oz (129 g),380,21.0,2,Burgers & Sandwiches,Cereal Containing gluten;Milk
Ranch Snack Wrap® (Grilled) 4.5 oz (128 g),290,13.0,2,Burgers & Sandwiches,Cereal Containing gluten
Mac Snack Wrap 4.4 oz (125 g),330,19.0,3,Burgers & Sandwiches,Cereal Containing gluten
Jalapeño Double 5.7 oz (160 g),440,24.0,6,Burgers & Sandwiches,Unknown
